raw_date,Day_of_Week,Browser,Device_Type,Country,Traffic_Source,Landing_Page,Visitors,New_Visitors,Returning_Visitors,Sessions,Page_Views,Bounce_Rate,Avg_Session_Duration_Sec,Conversions,Conversion_Rate,Revenue,Revenue_Per_Visitor,Date
19-03-2026,Thursday ,Chrome ,Desktop,UK     ,Social Media  ,/pricing      ,1391,1049,342,1595,5506,0.6,404.7,84,0.1,16108.9,11.6,2026-03-19
07-10-2025,Tuesday  ,Firefox,Mobile ,USA    ,Referral      ,/products     ,3739,3350,389,3958,9893,0.4,212.5,532,0.1,160382.4,42.9,2025-07-10
26-01-2026,Monday   ,Chrome ,Mobile ,Germany,Social Media  ,/about        ,342,302,40,381,991,0.6,85.8,19,0.1,3013.4,8.8,2026-01-26
04-02-2026,Wednesday,Safari ,Mobile ,France ,Organic Search,/about        ,3141,2126,1015,3569,10857,0.7,130.9,432,0.1,46872.5,14.9,2026-04-02
22-03-2026,Sunday   ,Chrome ,Desktop,Japan  ,Organic Search,/products     ,2230,1500,730,2348,5495,0.5,450.8,303,0.1,57677.6,25.9,2026-03-22
12-01-2026,Monday   ,Chrome ,Mobile ,France ,Organic Search,/landing-promo,1730,1109,621,1826,6487,0.6,79,209,0.1,26837.8,15.5,2026-12-01
13-02-2026,Friday   ,Chrome ,Mobile ,India  ,Unknown       ,/about        ,2650,1814,836,3041,7862,0.7,101.6,241,0.1,14892.7,5.6,2026-02-13
17-01-2026,Saturday ,Chrome ,Desktop,France ,Paid Search   ,/blog         ,3110,2480,630,3503,14468,0.5,590.6,481,0.2,78194.3,25.1,2026-01-17
29-12-2025,Monday   ,Chrome ,Desktop,USA    ,Direct        ,/landing-promo,5261,2827,2434,5804,22961,0.4,528.9,924,0.2,219516.8,41.7,2025-12-29
01-12-2025,Monday   ,Chrome ,Desktop,Germany,Social Media  ,/landing-promo,1131,958,173,1165,5103,0.7,181,69,0.1,18773,16.6,2025-01-12
10-12-2025,Wednesday,Safari ,Desktop,USA    ,Organic Search,/blog         ,3735,2842,893,3940,14752,0.4,393.7,601,0.2,123344.3,33,2025-10-12
05-10-2025,Sunday   ,Chrome ,Desktop,USA    ,Organic Search,/about        ,2454,1816,638,2727,4556,0.6,455.3,363,0.1,101820.8,41.5,2025-05-10
27-01-2026,Tuesday  ,Chrome ,Mobile ,India  ,Organic Search,/blog         ,4418,3083,1335,4730,7420,0.5,242.2,485,0.1,34291.7,7.8,2026-01-27
28-02-2026,Saturday ,Chrome ,Mobile ,UK     ,Organic Search,/about        ,2249,1525,724,2530,4723,0.6,237.4,270,0.1,28459.2,12.7,2026-02-28
08-12-2025,Monday   ,Chrome ,Mobile ,USA    ,Organic Search,/pricing      ,3746,2895,851,4069,16050,0.7,124.3,577,0.2,186766.4,49.9,2025-08-12
26-12-2025,Friday   ,Chrome ,Desktop,UK     ,Paid Search   ,/products     ,5443,4721,722,5523,17705,0.6,126.7,891,0.2,223315.2,41,2025-12-26
11-01-2026,Sunday   ,Chrome ,Desktop,UK     ,Organic Search,/about        ,1499,1081,418,1631,5520,0.5,400.9,224,0.1,13452.9,9,2026-11-01
09-11-2025,Sunday   ,Chrome ,Tablet ,Canada ,Direct        ,/pricing      ,433,232,201,489,1187,0.3,232.5,59,0.1,7208.2,16.6,2025-09-11
21-01-2026,Wednesday,Safari ,Desktop,India  ,Organic Search,/pricing      ,3483,2346,1137,3996,10577,0.6,254.2,434,0.1,24441.4,7,2026-01-21
27-11-2025,Thursday ,Chrome ,Desktop,India  ,Organic Search,/about        ,1301,920,381,1329,3360,0.4,374,153,0.1,11116.3,8.5,2025-11-27
14-01-2026,Wednesday,Safari ,Desktop,USA    ,Organic Search,/contact      ,3740,2263,1477,3823,10516,0.3,465.5,613,0.2,56471.9,15.1,2026-01-14
05-10-2025,Sunday   ,Safari ,Tablet ,Canada ,Paid Search   ,/home         ,3962,2987,975,4155,10962,0.7,328.4,614,0.2,37812,9.5,2025-05-10
23-11-2025,Sunday   ,Safari ,Mobile ,USA    ,Organic Search,/landing-promo,639,502,137,734,2911,0.5,119.1,84,0.1,14794.6,23.2,2025-11-23
21-10-2025,Tuesday  ,Chrome ,Mobile ,India  ,Direct        ,/landing-promo,1709,1026,683,1864,5400,0.4,262.7,178,0.1,7689.3,4.5,2025-10-21
09-01-2026,Friday   ,Chrome ,Desktop,USA    ,Social Media  ,/contact      ,1667,1331,336,1809,3201,0.7,394.9,146,0.1,19156,11.5,2026-09-01
10-01-2026,Saturday ,Chrome ,Desktop,India  ,Organic Search,/about        ,1429,927,502,1474,2154,0.6,513.7,160,0.1,5784,4,2026-10-01
06-02-2026,Friday   ,Safari ,Desktop,Japan  ,Referral      ,/about        ,2570,2007,563,2716,3231,0.4,133.8,351,0.1,40538.2,15.8,2026-06-02
19-03-2026,Thursday ,Chrome ,Mobile ,India  ,Social Media  ,/landing-promo,3411,2819,592,3586,9093,0.8,144.4,120,0,10577.7,3.1,2026-03-19
19-11-2025,Wednesday,Chrome ,Mobile ,Japan  ,Social Media  ,/home         ,4212,3238,974,4332,16041,0.5,153.5,268,0.1,49157,11.7,2025-11-19
03-10-2025,Friday   ,Chrome ,Mobile ,India  ,Organic Search,/pricing      ,4048,2431,1617,4102,18107,0.4,138.5,443,0.1,43836.4,10.8,2025-03-10
12-03-2026,Thursday ,Safari ,Mobile ,Japan  ,Email         ,/products     ,1679,1053,626,1721,6253,0.4,134.8,281,0.2,18529.5,11,2026-12-03
15-01-2026,Thursday ,Chrome ,Tablet ,France ,Direct        ,/home         ,1638,706,932,1742,6366,0.6,519.8,198,0.1,19392.3,11.8,2026-01-15
07-01-2026,Wednesday,Safari ,Mobile ,Germany,Organic Search,/about        ,2294,1508,786,2546,6840,0.5,101.2,318,0.1,34417.9,15,2026-07-01
17-12-2025,Wednesday,Chrome ,Desktop,USA    ,Organic Search,/pricing      ,4394,2982,1412,4505,8810,0.6,244.5,668,0.2,75862.2,17.3,2025-12-17
07-12-2025,Sunday   ,Safari ,Tablet ,USA    ,Social Media  ,/about        ,2209,1864,345,2293,5750,0.8,123.1,176,0.1,42754.9,19.4,2025-07-12
16-11-2025,Sunday   ,Chrome ,Desktop,UK     ,Social Media  ,/products     ,1031,884,147,1143,3034,0.8,293.1,63,0.1,5476.8,5.3,2025-11-16
12-10-2025,Sunday   ,Chrome ,Mobile ,USA    ,Organic Search,/about        ,2077,1530,547,2268,3944,0.3,261.3,299,0.1,71989.1,34.7,2025-12-10
25-12-2025,Thursday ,Chrome ,Desktop,India  ,Paid Search   ,/products     ,2387,2116,271,2415,5453,0.4,217.6,298,0.1,26986.9,11.3,2025-12-25
31-10-2025,Friday   ,Chrome ,Mobile ,India  ,Organic Search,/contact      ,1679,1288,391,1928,2169,0.7,137.3,158,0.1,3811.6,2.3,2025-10-31
28-01-2026,Wednesday,Chrome ,Desktop,India  ,Paid Search   ,/products     ,1504,1242,262,1532,3553,0.6,289.3,194,0.1,14572.1,9.7,2026-01-28
09-02-2026,Monday   ,Unknown,Desktop,USA    ,Referral      ,/home         ,2687,2073,614,2732,12783,0.4,592,378,0.1,85347.7,31.8,2026-09-02
28-02-2026,Saturday ,Chrome ,Desktop,India  ,Direct        ,/about        ,573,234,339,607,2607,0.5,309.1,63,0.1,2124.2,3.7,2026-02-28
11-11-2025,Tuesday  ,Edge   ,Desktop,UAE    ,Direct        ,/landing-promo,1190,603,587,1325,4123,0.3,546.9,196,0.2,30914.1,26,2025-11-11
26-11-2025,Wednesday,Chrome ,Desktop,UK     ,Email         ,/products     ,2059,903,1156,2247,6329,0.5,429.3,356,0.2,60057.6,29.2,2025-11-26
06-01-2026,Tuesday  ,Safari ,Desktop,France ,Social Media  ,/pricing      ,3495,3027,468,3876,9276,0.7,143.1,236,0.1,36893.2,10.6,2026-06-01
17-10-2025,Friday   ,Chrome ,Mobile ,Germany,Social Media  ,/landing-promo,3833,3351,482,3891,16015,0.5,220.3,271,0.1,42071.3,11,2025-10-17
27-11-2025,Thursday ,Safari ,Mobile ,Canada ,Direct        ,/pricing      ,1070,657,413,1075,2481,0.4,248.6,156,0.1,30953.7,28.9,2025-11-27
16-10-2025,Thursday ,Chrome ,Tablet ,USA    ,Organic Search,/contact      ,3869,2902,967,4340,13435,0.7,285.5,586,0.2,0,0,2025-10-16
28-09-2025,Sunday   ,Chrome ,Mobile ,USA    ,Organic Search,/home         ,2395,1826,569,2566,7437,0.4,199.4,325,0.1,81154,33.9,2025-09-28
26-10-2025,Sunday   ,Chrome ,Mobile ,France ,Referral      ,/pricing      ,1984,1629,355,2132,5828,0.4,231.8,229,0.1,48449.1,24.4,2025-10-26
02-11-2025,Sunday   ,Firefox,Desktop,USA    ,Paid Search   ,/products     ,2283,1724,559,2336,6149,0.4,569.4,399,0.2,45786.7,20.1,2025-02-11
11-03-2026,Wednesday,Chrome ,Mobile ,USA    ,Organic Search,/landing-promo,3686,2490,1196,3911,8868,0.6,293.2,527,0.1,0,0,2026-11-03
17-02-2026,Tuesday  ,Safari ,Desktop,USA    ,Direct        ,/home         ,3698,1733,1965,3704,15936,0.4,634.3,633,0.2,76148.2,20.6,2026-02-17
01-10-2025,Wednesday,Chrome ,Mobile ,India  ,Organic Search,/contact      ,1980,1315,665,2166,3662,0.4,298,204,0.1,11264.3,5.7,2025-01-10
22-03-2026,Sunday   ,Safari ,Mobile ,India  ,Email         ,/products     ,330,168,162,335,794,0.3,285.2,45,0.1,857.8,2.6,2026-03-22
01-10-2025,Wednesday,Chrome ,Mobile ,UK     ,Organic Search,/pricing      ,4299,2822,1477,4328,12620,0.3,110.5,625,0.1,154530,35.9,2025-01-10
18-10-2025,Saturday ,Chrome ,Mobile ,USA    ,Organic Search,/home         ,362,249,113,369,665,0.6,177.8,51,0.1,6438.6,17.8,2025-10-18
04-10-2025,Saturday ,Chrome ,Desktop,India  ,Email         ,/blog         ,1175,493,682,1301,2435,0.5,388.7,166,0.1,10939.4,9.3,2025-04-10
02-10-2025,Thursday ,Firefox,Desktop,UAE    ,Organic Search,/contact      ,1300,1030,270,1453,2008,0.3,316.3,190,0.1,43649.6,33.6,2025-02-10
29-11-2025,Saturday ,Chrome ,Desktop,France ,Direct        ,/pricing      ,2422,1355,1067,2509,3912,0.5,700.9,331,0.1,69464.8,28.7,2025-11-29
26-02-2026,Thursday ,Firefox,Mobile ,Canada ,Direct        ,/home         ,5322,2203,3119,5829,14291,0.5,74.4,749,0.1,75245.5,14.1,2026-02-26
30-09-2025,Tuesday  ,Safari ,Mobile ,Germany,Direct        ,/home         ,3486,1828,1658,3874,9516,0.4,358.3,542,0.2,135667.8,38.9,2025-09-30
30-11-2025,Sunday   ,Chrome ,Desktop,France ,Paid Search   ,/products     ,2622,2269,353,2755,4870,0.6,525.9,390,0.1,68709.6,26.2,2025-11-30
14-03-2026,Saturday ,Chrome ,Desktop,USA    ,Organic Search,/landing-promo,2499,1927,572,2676,9685,0.3,307.1,355,0.1,48335.8,19.3,2026-03-14
30-10-2025,Thursday ,Chrome ,Desktop,USA    ,Paid Search   ,/landing-promo,1735,1533,202,1936,2567,0.6,140.4,305,0.2,18909.6,10.9,2025-10-30
10-11-2025,Monday   ,Chrome ,Desktop,India  ,Direct        ,/products     ,3059,1463,1596,3233,13564,0.6,754,401,0.1,10163.5,3.3,2025-10-11
11-10-2025,Saturday ,Chrome ,Mobile ,USA    ,Social Media  ,/landing-promo,2426,1963,463,2682,10871,0.7,143.4,183,0.1,22054.4,9.1,2025-11-10
02-11-2025,Sunday   ,Chrome ,Mobile ,Canada ,Paid Search   ,/pricing      ,3634,3212,422,3645,13504,0.6,206.9,579,0.2,96353.9,26.5,2025-02-11
05-10-2025,Sunday   ,Safari ,Desktop,France ,Organic Search,/about        ,1750,1385,365,1976,4132,0.6,317,230,0.1,36680.5,21,2025-05-10
12-02-2026,Thursday ,Chrome ,Mobile ,USA    ,Organic Search,/contact      ,1714,1148,566,1718,5073,0.7,106.9,223,0.1,72911.6,42.5,2026-12-02
06-12-2025,Saturday ,Chrome ,Desktop,Germany,Organic Search,/landing-promo,2149,1482,667,2366,4390,0.6,461.6,314,0.1,73472.7,34.2,2025-06-12
21-02-2026,Saturday ,Chrome ,Desktop,Unknown,Direct        ,/about        ,3261,1596,1665,3652,13503,0.3,285,448,0.1,13466.4,4.1,2026-02-21
06-01-2026,Tuesday  ,Chrome ,Mobile ,Germany,Organic Search,/products     ,4195,2645,1550,4385,10225,0.6,93.4,577,0.1,109823.7,26.2,2026-06-01
19-01-2026,Monday   ,Firefox,Desktop,USA    ,Organic Search,/contact      ,2452,1961,491,2458,9803,0.5,433.4,345,0.1,31080.2,12.7,2026-01-19
27-11-2025,Thursday ,Chrome ,Desktop,France ,Paid Search   ,/landing-promo,2093,1780,313,2274,6085,0.6,579.4,328,0.2,23024.3,11,2025-11-27
04-12-2025,Thursday ,Firefox,Mobile ,USA    ,Organic Search,/home         ,5009,3970,1039,5619,17400,0.6,99.3,727,0.1,151895,30.3,2025-04-12
17-01-2026,Saturday ,Chrome ,Desktop,Japan  ,Organic Search,/products     ,1712,1301,411,1903,4486,0.6,197,238,0.1,21106,12.3,2026-01-17
16-02-2026,Monday   ,Safari ,Mobile ,UAE    ,Organic Search,/blog         ,2360,1465,895,2691,4320,0.7,119.7,316,0.1,34797.8,14.7,2026-02-16
27-02-2026,Friday   ,Chrome ,Desktop,Japan  ,Paid Search   ,/blog         ,3864,3312,552,4382,6911,0.6,450.6,647,0.2,111021.3,28.7,2026-02-27
01-03-2026,Sunday   ,Safari ,Desktop,Japan  ,Social Media  ,/blog         ,2891,2314,577,2970,7777,0.4,360.2,227,0.1,11158.3,3.9,2026-01-03
23-11-2025,Sunday   ,Firefox,Desktop,India  ,Referral      ,/about        ,1784,1458,326,1845,3400,0.5,238,194,0.1,16762.9,9.4,2025-11-23
05-03-2026,Thursday ,Edge   ,Mobile ,USA    ,Paid Search   ,/home         ,1716,1415,301,1829,3237,0.6,97,278,0.2,84059.5,49,2026-05-03
25-12-2025,Thursday ,Safari ,Mobile ,Japan  ,Organic Search,/pricing      ,2046,1255,791,2308,3812,0.4,105.2,272,0.1,48861.1,23.9,2025-12-25
14-12-2025,Sunday   ,Chrome ,Desktop,UAE    ,Direct        ,/landing-promo,3017,1929,1088,3219,10544,0.4,568,526,0.2,43051.1,14.3,2025-12-14
09-01-2026,Friday   ,Chrome ,Mobile ,Germany,Referral      ,/about        ,3145,2404,741,3423,11408,0.6,153,386,0.1,54378.6,17.3,2026-09-01
28-01-2026,Wednesday,Chrome ,Mobile ,India  ,Email         ,/home         ,1409,830,579,1612,6444,0.3,210.2,200,0.1,20385.9,14.5,2026-01-28
20-10-2025,Monday   ,Chrome ,Desktop,Canada ,Organic Search,/products     ,3687,2430,1257,3835,10867,0.5,284.3,561,0.2,32216.9,8.7,2025-10-20
29-01-2026,Thursday ,Chrome ,Desktop,UK     ,Social Media  ,/products     ,373,299,74,403,485,0.6,319.1,25,0.1,6333.8,17,2026-01-29
01-02-2026,Sunday   ,Chrome ,Desktop,India  ,Organic Search,/contact      ,2050,1237,813,2234,2924,0.3,374.7,221,0.1,20059.3,9.8,2026-01-02
20-03-2026,Friday   ,Safari ,Mobile ,USA    ,Direct        ,/products     ,4176,1829,2347,4601,8083,0.4,258.2,689,0.2,45983.5,11,2026-03-20
20-01-2026,Tuesday  ,Chrome ,Desktop,Japan  ,Organic Search,/landing-promo,3183,1915,1268,3630,14344,0.5,559.3,482,0.2,73736.5,23.2,2026-01-20
03-11-2025,Monday   ,Firefox,Desktop,USA    ,Social Media  ,/blog         ,3764,2935,829,3849,12659,0.7,293.3,328,0.1,102533.6,27.2,2025-03-11
23-01-2026,Friday   ,Firefox,Mobile ,Japan  ,Organic Search,/products     ,4905,3578,1327,5153,12976,0.4,158,668,0.1,65711.4,13.4,2026-01-23
08-12-2025,Monday   ,Unknown,Desktop,Germany,Direct        ,/contact      ,906,487,419,995,2224,0.6,576.5,135,0.1,31815.6,35.1,2025-08-12
17-03-2026,Tuesday  ,Chrome ,Mobile ,Japan  ,Direct        ,/home         ,1131,564,567,1190,3292,0.5,309.9,149,0.1,32197.1,28.5,2026-03-17
19-10-2025,Sunday   ,Chrome ,Desktop,Canada ,Direct        ,/home         ,672,402,270,693,2329,0.5,671.5,105,0.2,21807.9,32.5,2025-10-19
03-11-2025,Monday   ,Edge   ,Tablet ,USA    ,Direct        ,/pricing      ,2424,1322,1102,2534,3274,0.6,345.3,379,0.2,70830.8,29.2,2025-03-11
28-02-2026,Saturday ,Chrome ,Mobile ,France ,Direct        ,/about        ,1561,813,748,1612,7317,0.3,305.7,190,0.1,37522.2,24,2026-02-28
09-01-2026,Friday   ,Chrome ,Desktop,France ,Organic Search,/blog         ,722,447,275,807,3312,0.6,164.6,89,0.1,16246.1,22.5,2026-09-01
23-01-2026,Friday   ,Edge   ,Desktop,India  ,Paid Search   ,/products     ,1581,1275,306,1776,5166,0.7,140,206,0.1,19492.8,12.3,2026-01-23
17-01-2026,Saturday ,Safari ,Desktop,Canada ,Organic Search,/contact      ,2730,2159,571,3124,3431,0.6,550.7,401,0.1,18987.2,7,2026-01-17
19-12-2025,Friday   ,Safari ,Desktop,India  ,Paid Search   ,/landing-promo,5164,4632,532,5227,21018,0.5,534.3,688,0.1,73900.4,14.3,2025-12-19
04-11-2025,Tuesday  ,Chrome ,Desktop,India  ,Direct        ,/products     ,2388,970,1418,2477,10565,0.4,128.3,296,0.1,28927,12.1,2025-04-11
10-03-2026,Tuesday  ,Safari ,Desktop,Japan  ,Organic Search,/blog         ,3291,2183,1108,3715,5512,0.5,295.4,511,0.2,82672.5,25.1,2026-10-03
16-12-2025,Tuesday  ,Chrome ,Mobile ,UAE    ,Paid Search   ,/products     ,1277,1010,267,1358,2192,0.6,147.6,194,0.2,8676.8,6.8,2025-12-16
02-03-2026,Monday   ,Safari ,Mobile ,France ,Direct        ,/products     ,3494,1674,1820,3820,7851,0.6,290.9,470,0.1,77641.3,22.2,2026-02-03
23-01-2026,Friday   ,Edge   ,Desktop,India  ,Social Media  ,/blog         ,904,759,145,994,3687,0.5,196.8,36,0,3781.7,4.2,2026-01-23
15-02-2026,Sunday   ,Safari ,Mobile ,USA    ,Direct        ,/products     ,2498,1392,1106,2623,9961,0.4,376.1,366,0.1,49858.9,20,2026-02-15
05-01-2026,Monday   ,Chrome ,Desktop,India  ,Paid Search   ,/landing-promo,1720,1409,311,1875,5282,0.4,309.7,222,0.1,25145,14.6,2026-05-01
09-02-2026,Monday   ,Chrome ,Desktop,UK     ,Organic Search,/blog         ,3765,2908,857,4116,14080,0.4,217.7,600,0.2,116124.3,30.8,2026-09-02
20-03-2026,Friday   ,Chrome ,Desktop,UK     ,Organic Search,/pricing      ,2771,1812,959,2805,6140,0.4,416.5,370,0.1,24365,8.8,2026-03-20
26-01-2026,Monday   ,Safari ,Desktop,Germany,Organic Search,/about        ,777,499,278,826,2752,0.5,293.9,109,0.1,11683.7,15,2026-01-26
30-09-2025,Tuesday  ,Safari ,Mobile ,USA    ,Social Media  ,/about        ,667,585,82,765,2222,0.5,160,41,0.1,6303.9,9.5,2025-09-30
03-01-2026,Saturday ,Safari ,Desktop,USA    ,Organic Search,/products     ,3424,2419,1005,3872,5283,0.6,199.6,550,0.2,81554.6,23.8,2026-03-01
20-03-2026,Friday   ,Chrome ,Desktop,France ,Paid Search   ,/about        ,1957,1477,480,2128,4697,0.4,287.9,301,0.2,48735.5,24.9,2026-03-20
18-01-2026,Sunday   ,Chrome ,Desktop,India  ,Paid Search   ,/products     ,2068,1609,459,2298,9274,0.4,497.4,276,0.1,24345.2,11.8,2026-01-18
18-12-2025,Thursday ,Safari ,Desktop,India  ,Organic Search,/blog         ,3809,2317,1492,4277,16883,0.4,546.9,438,0.1,35275.5,9.3,2025-12-18
27-01-2026,Tuesday  ,Chrome ,Desktop,Canada ,Referral      ,/products     ,2703,2256,447,2861,9894,0.4,374.6,340,0.1,42061.5,15.6,2026-01-27
20-10-2025,Monday   ,Chrome ,Desktop,Canada ,Paid Search   ,/about        ,4518,3630,888,5075,17931,0.4,586.7,763,0.2,104079,23,2025-10-20
15-12-2025,Monday   ,Chrome ,Desktop,India  ,Direct        ,/landing-promo,876,375,501,926,1155,0.6,287.5,106,0.1,7345.1,8.4,2025-12-15
15-01-2026,Thursday ,Chrome ,Desktop,UK     ,Paid Search   ,/landing-promo,5348,4275,1073,5598,18283,0.7,462.2,912,0.2,194100.1,36.3,2026-01-15
21-10-2025,Tuesday  ,Safari ,Desktop,France ,Referral      ,/home         ,669,601,68,697,1006,0.6,508,86,0.1,15618.1,23.3,2025-10-21
11-12-2025,Thursday ,Chrome ,Desktop,USA    ,Social Media  ,/pricing      ,3877,3273,604,4031,17142,0.6,247.9,339,0.1,21985,5.7,2025-11-12
18-10-2025,Saturday ,Chrome ,Desktop,USA    ,Organic Search,/home         ,1214,756,458,1249,1987,0.6,174.6,181,0.1,31584.9,26,2025-10-18
26-12-2025,Friday   ,Firefox,Mobile ,USA    ,Paid Search   ,/about        ,4665,3795,870,5350,16637,0.6,201.2,756,0.2,81038.6,17.4,2025-12-26
28-02-2026,Saturday ,Safari ,Mobile ,UAE    ,Direct        ,/products     ,1225,550,675,1323,4799,0.4,236,183,0.1,13664.8,11.2,2026-02-28
17-01-2026,Saturday ,Chrome ,Tablet ,India  ,Organic Search,/landing-promo,3261,2468,793,3468,10672,0.5,182,380,0.1,34925,10.7,2026-01-17
18-03-2026,Wednesday,Chrome ,Desktop,India  ,Organic Search,/pricing      ,2752,1980,772,2944,9392,0.3,414.2,293,0.1,25946.8,9.4,2026-03-18
07-01-2026,Wednesday,Chrome ,Desktop,Germany,Direct        ,/about        ,2885,1202,1683,3006,6846,0.5,360.9,415,0.1,35769,12.4,2026-07-01
20-02-2026,Friday   ,Unknown,Desktop,India  ,Referral      ,/pricing      ,2772,2103,669,3176,5801,0.6,539.8,265,0.1,23537.9,8.5,2026-02-20
15-03-2026,Sunday   ,Firefox,Mobile ,Japan  ,Organic Search,/products     ,1646,1313,333,1672,2960,0.5,129.6,200,0.1,33359.6,20.3,2026-03-15
18-01-2026,Sunday   ,Safari ,Mobile ,India  ,Direct        ,/home         ,3101,1741,1360,3189,8666,0.4,62.1,387,0.1,33039.4,10.7,2026-01-18
27-10-2025,Monday   ,Chrome ,Mobile ,UAE    ,Direct        ,/pricing      ,5153,2076,3077,5456,18369,0.5,282.3,796,0.2,71906.9,14,2025-10-27
01-03-2026,Sunday   ,Firefox,Mobile ,UK     ,Paid Search   ,/pricing      ,2384,1975,409,2497,4936,0.6,132.1,355,0.1,103270.8,43.3,2026-01-03
03-03-2026,Tuesday  ,Unknown,Mobile ,Canada ,Organic Search,/products     ,1106,697,409,1255,3127,0.5,218.9,139,0.1,8390.8,7.6,2026-03-03
22-10-2025,Wednesday,Safari ,Desktop,France ,Direct        ,/products     ,5084,2292,2792,5586,20199,0.3,247.9,781,0.2,85602.7,16.8,2025-10-22
26-11-2025,Wednesday,Edge   ,Desktop,UAE    ,Email         ,/landing-promo,380,226,154,392,546,0.3,330.7,68,0.2,16681.3,43.9,2025-11-26
09-02-2026,Monday   ,Chrome ,Tablet ,USA    ,Direct        ,/contact      ,5360,2964,2396,5406,18953,0.5,215.2,809,0.2,236025.3,44,2026-09-02
20-10-2025,Monday   ,Chrome ,Desktop,India  ,Direct        ,/contact      ,5259,2971,2288,6040,9986,0.5,351.9,672,0.1,18428.3,3.5,2025-10-20
09-12-2025,Tuesday  ,Chrome ,Desktop,Germany,Organic Search,/blog         ,5060,3277,1783,5413,22153,0.6,466.8,740,0.1,68845,13.6,2025-09-12
09-11-2025,Sunday   ,Chrome ,Tablet ,USA    ,Paid Search   ,/blog         ,666,553,113,718,1323,0.4,351.5,108,0.2,7354,11,2025-09-11
22-03-2026,Sunday   ,Firefox,Tablet ,USA    ,Organic Search,/about        ,3098,2045,1053,3540,9026,0.4,243.3,482,0.2,120518.7,38.9,2026-03-22
04-10-2025,Saturday ,Edge   ,Desktop,UK     ,Social Media  ,/contact      ,2072,1864,208,2329,5411,0.5,360.2,138,0.1,24810.4,12,2025-04-10
15-11-2025,Saturday ,Safari ,Mobile ,USA    ,Organic Search,/contact      ,2331,1730,601,2451,7226,0.5,277.2,314,0.1,26865,11.5,2025-11-15
15-01-2026,Thursday ,Safari ,Mobile ,India  ,Social Media  ,/blog         ,4396,3771,625,4830,13837,0.4,176.5,155,0,14270.8,3.2,2026-01-15
24-01-2026,Saturday ,Chrome ,Desktop,India  ,Email         ,/pricing      ,1948,1113,835,2222,2748,0.3,522.8,275,0.1,22302.3,11.4,2026-01-24
02-03-2026,Monday   ,Safari ,Desktop,France ,Organic Search,/home         ,2736,2077,659,2815,9475,0.3,528.4,344,0.1,46303.9,16.9,2026-02-03
10-03-2026,Tuesday  ,Safari ,Tablet ,India  ,Organic Search,/home         ,3396,2649,747,3665,13251,0.6,191.8,357,0.1,21666.6,6.4,2026-10-03
23-03-2026,Monday   ,Firefox,Desktop,UK     ,Organic Search,/contact      ,3372,2399,973,3718,15010,0.5,233.5,472,0.1,134754.2,40,2026-03-23
04-03-2026,Wednesday,Chrome ,Desktop,USA    ,Social Media  ,/about        ,1805,1487,318,1895,3537,0.6,363.1,145,0.1,48307.3,26.8,2026-04-03
08-11-2025,Saturday ,Chrome ,Tablet ,UAE    ,Email         ,/contact      ,1335,713,622,1500,3044,0.6,265.3,240,0.2,65286.1,48.9,2025-08-11
26-01-2026,Monday   ,Chrome ,Desktop,UAE    ,Direct        ,/landing-promo,4006,1722,2284,4231,4916,0.3,307.2,662,0.2,154062.4,38.5,2026-01-26
24-11-2025,Monday   ,Firefox,Desktop,USA    ,Paid Search   ,/about        ,2233,1805,428,2325,9355,0.6,184.4,388,0.2,52994.3,23.7,2025-11-24
